detected_language,url,response_code,num_links,response_type,declared_language
zh_Hant,https://zh.wikipedia.org/wiki/Wikipedia:%E5%BD%93%E5%89%8D%E7%9A%84%E7%A0%B4%E5%9D%8F,200,549,HTML,zh
tr,https://tr.wikipedia.org/wiki/Birle%C5%9Ftirme,200,68,HTML,tr
en,https://zh.wikipedia.org/wiki/Template:User_Twinklewelcome,200,65,HTML,zh
en,https://en.wikipedia.org/wiki/User_talk:Kuralyov,200,1478,HTML,en
uk,https://uk.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D0%B5%D0%B4%D1%96%D1%8F:%D0%9A%D0%BD%D0%B0%D0%B9%D0%BF%D0%B0_(%D0%BF%D0%BE%D0%BB%D1%96%D1%82%D0%B8%D0%BA%D0%B8),200,1412,HTML,uk
en,https://en.wikipedia.org/wiki/High-level_language,200,291,HTML,en
zh_Hant,https://zh.wikipedia.org/zh-tw/Wikipedia:Twinkle,200,185,HTML,zh-TW
en,https://en.wikipedia.org/wiki/DEGIMA_(computer_cluster),200,91,HTML,en
en,https://en.wikipedia.org/wiki/High-performance_computing,200,1204,HTML,en
,https://tr.wikipedia.org/wiki/%C3%96zel:SonDe%C4%9Fi%C5%9Fiklikler,200,511,HTML,tr
en,https://cs.wikipedia.org/wiki/Speci%C3%A1ln%C3%AD:P%C5%99%C3%ADsp%C4%9Bvky/Anotherclown,200,50,HTML,cs
,https://tr.wikipedia.org/wiki/%C3%96zel:%C3%96zelSayfalar,200,157,HTML,tr
en,https://tools.wmflabs.org/quentinv57-tools/tools/sulinfo.php?username=Anotherclown,200,155,HTML,en-US
en,https://zh.wikipedia.org/wiki/Wikipedia:%E6%8C%81%E7%BA%8C%E5%87%BA%E6%B2%92%E7%9A%84%E7%A0%B4%E5%A3%9E%E8%80%85/%E9%BA%BB%E5%B0%87%E7%9B%B8%E9%97%9C%E7%B9%81%E7%B0%A1%E7%A0%B4%E5%A3%9E,200,235,HTML,zh
en,https://en.wikipedia.org/wiki/Sandia_National_Laboratories,200,572,HTML,en
en,https://tools.wmflabs.org/guc/?user=219.78.168.194,200,4,HTML,en
,https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1_mesaj:89.166.46.217,200,181,HTML,tr
th,https://th.wikipedia.org/wiki/%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%97%E0%B8%94%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%8B%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B8%A2,200,108,HTML,th
en,https://en.wikipedia.org/wiki/Y-12_National_Security_Complex,200,463,HTML,en
en,https://tr.wikipedia.org/wiki/Mary_Elizabeth_Turner,200,181,HTML,tr
en,https://cs.wikipedia.org/wiki/Speci%C3%A1ln%C3%AD:Moje_p%C5%99%C3%ADsp%C4%9Bvky,200,60,HTML,cs
en,https://fi.wikipedia.org/wiki/Sandia_National_Laboratories,200,83,HTML,fi
en,https://zh.wikipedia.org/wiki/User_talk:Gllzzqtz,200,86,HTML,zh
en,https://zh.wikipedia.org/wiki/User_talk:G-NIAL,200,85,HTML,zh
tr,https://tr.wikipedia.org/wiki/Vikipedi:%C4%B0mza_kullan%C4%B1m%C4%B1,200,293,HTML,tr
en,https://zh.wikipedia.org/wiki/Wikipedia:%E5%BD%93%E5%89%8D%E7%9A%84%E7%A0%B4%E5%9D%8F/%E5%AD%98%E6%A1%A3,200,123,HTML,zh
tr,https://tr.wikipedia.org/wiki/Nak%C4%B1%C5%9F_kasna%C4%9F%C4%B1,200,208,HTML,tr
en,https://zh.wikipedia.org/wiki/Wikipedia:%E5%BD%93%E5%89%8D%E7%9A%84%E7%A0%B4%E5%9D%8F/%E5%AD%98%E6%A1%A3/2014%E5%B9%B47%E6%9C%88,200,3481,HTML,zh
en,https://zh.wikipedia.org/wiki/Special:%E7%94%A8%E6%88%B7%E8%B4%A1%E7%8C%AE/%E5%A4%9C%E5%96%B5,200,224,HTML,zh
en,https://zh.wikipedia.org/wiki/User_talk:%E5%A4%9C%E5%96%B5,200,94,HTML,zh
zh_Hant,https://zh.wikipedia.org/wiki/User:%E5%A4%9C%E5%96%B5,200,1096,HTML,zh
zh,https://zh.wikipedia.org/wiki/Special:%E9%93%BE%E5%85%A5%E9%A1%B5%E9%9D%A2/%E7%BA%A6%E7%BF%B0%C2%B7%E5%85%8B%E9%87%8C,200,360,HTML,zh
zh,https://zh.wikipedia.org/wiki/Talk:%E7%BA%A6%E7%BF%B0%C2%B7%E5%85%8B%E9%87%8C,200,134,HTML,zh
en,https://zh.wikipedia.org/wiki/Special:%E7%94%A8%E6%88%B7%E8%B4%A1%E7%8C%AE/118.233.152.202,200,94,HTML,zh
zh_Hant,https://zh.wikipedia.org/wiki/Wikipedia:ILLEGIT,200,461,HTML,zh
,https://zh.wikipedia.org/wiki/Special:%E7%94%A8%E6%88%B7%E8%B4%A1%E7%8C%AE/%E4%B8%AD%E8%8F%AF%E6%84%9B%E5%9C%8B%E9%99%A3%E7%B7%9A,404,,SpiderException -- Ignoring non-200 response,
en,https://zh.wikipedia.org/wiki/Special:%E7%94%A8%E6%88%B7%E8%B4%A1%E7%8C%AE/%E6%A2%85%E5%B3%B0,200,305,HTML,zh
en,https://zh-yue.wikipedia.org/wiki/Wikipedia:%E8%A5%AA%E5%85%AC%E4%BB%94,200,318,HTML,yue
yi,https://yi.wikipedia.org/wiki/%D7%B0%D7%99%D7%A7%D7%99%D7%A4%D6%BC%D7%A2%D7%93%D7%99%D7%A2:%D7%96%D7%90%D7%A7%D7%9F_%D7%A4%D7%90%D7%A4%D7%A2%D7%98,200,253,HTML,yi
en,https://zh.wikipedia.org/wiki/Special:%E9%93%BE%E5%85%A5%E9%A1%B5%E9%9D%A2/%E5%BC%B7%E9%A2%B1%E9%A2%A8%E5%A8%81%E9%A6%AC%E9%81%9C_(2014%E5%B9%B4),200,71,HTML,zh
en,https://zh-yue.wikipedia.org/wiki/Template:Sockpuppeteer,200,130,HTML,yue
yi,https://yi.wikipedia.org/wiki/%D7%A1%D7%99%D7%A1%D7%90%D7%A4,200,438,HTML,yi
en,https://zh.wikipedia.org/wiki/Special:%E7%94%A8%E6%88%B7%E6%9D%83%E9%99%90/%E5%A4%9C%E5%96%B5,200,70,HTML,zh
zh,https://zh.wikipedia.org/wiki/Special:%E9%93%BE%E5%87%BA%E6%9B%B4%E6%94%B9/Wikipedia:%E5%BD%93%E5%89%8D%E7%9A%84%E7%A0%B4%E5%9D%8F/%E5%AD%98%E6%A1%A3/2014%E5%B9%B47%E6%9C%88,200,406,HTML,zh
,https://zh.wikipedia.org/wiki/Special:%E9%93%BE%E5%87%BA%E6%9B%B4%E6%94%B9/User_talk:%E5%A4%9C%E5%96%B5,404,,SpiderException -- Ignoring non-200 response,
en,https://zh.wikipedia.org/wiki/Special:%E9%93%BE%E5%85%A5%E9%A1%B5%E9%9D%A2/User_talk:%E5%A4%9C%E5%96%B5,200,98,HTML,zh
en,https://yo.wikipedia.org/wiki/Wikipedia:Sock_puppetry,200,125,HTML,yo
en,https://zh.wikipedia.org/wiki/File:Cat02.jpg,200,242,HTML,zh
zh_Hant,https://zh.wikipedia.org/wiki/%E6%96%B9%E4%BE%BF%E9%9D%A2,200,368,HTML,zh
en,https://zh-yue.wikipedia.org/wiki/%E5%8D%B3%E9%A3%9F%E9%BA%AA,200,82,HTML,yue
zh_Hant,https://zh.wikipedia.org/wiki/%E6%B3%A2%E9%9F%B3757,200,471,HTML,zh
en,https://zh.wikipedia.org/wiki/Special:%E9%93%BE%E5%85%A5%E9%A1%B5%E9%9D%A2/Talk:%E7%BA%A6%E7%BF%B0%C2%B7%E5%85%8B%E9%87%8C,200,68,HTML,zh
en,https://zh.wikipedia.org/wiki/Special:%E9%93%BE%E5%87%BA%E6%9B%B4%E6%94%B9/Talk:%E7%BA%A6%E7%BF%B0%C2%B7%E5%85%8B%E9%87%8C,200,425,HTML,zh
en,https://zh-yue.wikipedia.org/wiki/%E6%B3%A2%E9%9F%B3757,200,117,HTML,yue
,https://zh.wikipedia.org/zh-tw/%E5%BC%B7%E9%A2%B1%E9%A2%A8%E5%A8%81%E9%A6%AC%E9%81%9C_(2014%E5%B9%B4),404,,SpiderException -- Ignoring non-200 response,
,https://zh-yue.wikipedia.org/wiki/Special:%E5%A4%96%E9%8F%88%E4%BF%AE%E6%94%B9/%E6%B3%A2%E9%9F%B3757,404,,SpiderException -- Ignoring non-200 response,
en,https://zh.wikipedia.org/wiki/Template:Autoreviewer_topicon,200,92,HTML,zh
